"CODE_ID","CODE_TYPE","CODE_NAME","CODE_FLAG"
"1","uk_condition","新規","0"
"2","uk_condition","終了","0"
"3","uk_condition","失注","0"
"4","uk_condition","削除","0"
"101","kakudo","◎","0"
"102","kakudo","○","0"
"103","kakudo","△","0"
"104","kakudo","▲","0"
"105","kakudo","▼","0"
"106","kakudo","◆","0"
"210","hattyu_type","開発","0"
"215","hattyu_type","保守","0"
"220","hattyu_type","保守（毎月）","0"
"230","hattyu_type","保守（半期）","0"
"240","hattyu_type","保守（四半期）","0"
"250","hattyu_type","支援","0"
"260","hattyu_type","支援（毎月）","0"
"270","hattyu_type","派遣","0"
"280","hattyu_type","委託","0"
"301","kaihatsu_taisei","公共","0"
"302","kaihatsu_taisei","外注","0"
"401","gk_condition","月別","0"
"402","gk_condition","仕掛り計","0"
"403","gk_condition","PJ合計","0"
"404","gk_condition","削除対象","0"
